Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,447.950012,460.649994,443.000000,454.200012,454.200012,439700
2021-10-12,459.559998,477.660004,457.200012,470.940002,470.940002,532100
2021-10-13,473.940002,494.519989,473.940002,494.019989,494.019989,983800
2021-10-14,499.540009,506.000000,488.359985,489.299988,489.299988,615700
2021-10-15,490.000000,492.885010,482.880005,491.809998,491.809998,390000
2021-10-18,491.894989,504.350006,488.049988,503.959991,503.959991,1106900
2021-10-19,505.500000,515.700012,501.980011,508.010010,508.010010,1648000
2021-10-20,510.970001,517.039978,498.369995,504.500000,504.500000,327000
2021-10-21,502.190002,517.250000,502.190002,509.429993,509.429993,978500
2021-10-22,507.549988,513.239990,497.290009,504.890015,504.890015,541900
2021-10-25,506.690002,525.000000,503.000000,518.869995,518.869995,695000
2021-10-26,518.469971,523.570007,494.329987,501.679993,501.679993,516400
2021-10-27,503.070007,512.989990,495.459991,497.959991,497.959991,326600
2021-10-28,498.489990,506.095001,490.010010,504.619995,504.619995,297600
2021-10-29,504.619995,523.880005,504.250000,521.289978,521.289978,503700
2021-11-01,521.989990,528.799988,496.809998,498.269989,498.269989,656600
2021-11-02,499.250000,519.989990,498.269989,518.359985,518.359985,642100
2021-11-03,518.349976,521.989990,512.330017,521.200012,521.200012,376800
2021-11-04,526.000000,540.820007,521.270020,535.080017,535.080017,741400
2021-11-05,540.539978,557.080017,539.109985,555.580017,555.580017,992900
2021-11-08,559.200012,581.640015,558.250000,571.299988,571.299988,810900
2021-11-09,576.140015,586.825012,563.710022,576.770020,576.770020,574400
2021-11-10,568.330017,576.760010,543.195007,554.960022,554.960022,601000
2021-11-11,561.080017,569.260986,545.039978,548.679993,548.679993,551200
2021-11-12,552.940002,568.669983,550.299988,566.830017,566.830017,328200
2021-11-15,569.630005,570.549988,556.109985,561.890015,561.890015,423000
2021-11-16,569.349976,585.869019,565.729980,585.030029,585.030029,510300
2021-11-17,585.030029,590.000000,566.570007,570.000000,570.000000,408500
2021-11-18,571.679993,579.000000,557.549988,567.789978,567.789978,969200
2021-11-19,573.919983,580.469971,562.195007,569.770020,569.770020,502600
2021-11-22,569.770020,569.770020,507.489990,515.869995,515.869995,1095600
2021-11-23,509.200012,523.080017,492.260010,498.859985,498.859985,1131300
2021-11-24,494.140015,512.440002,482.329987,507.179993,507.179993,652200
2021-11-26,503.467987,527.349976,503.467987,518.609985,518.609985,440500
2021-11-29,525.382019,532.979980,516.940002,525.979980,525.979980,498200
2021-11-30,530.000000,542.700012,496.880005,498.100006,498.100006,976300
2021-12-01,502.000000,508.579987,456.640015,456.890015,456.890015,977600
2021-12-02,454.070007,483.553009,451.989990,481.589996,481.589996,1253100
2021-12-03,482.170013,483.230011,435.820007,450.160004,450.160004,1761000
2021-12-06,430.679993,440.320007,417.214996,429.339996,429.339996,1853500
2021-12-07,521.950012,525.648987,485.459991,499.820007,499.820007,3267600
2021-12-08,502.750000,533.669983,486.239990,531.570007,531.570007,1376800
2021-12-09,531.520020,537.299988,512.400024,513.280029,513.280029,924300
2021-12-10,514.919983,527.820007,501.950012,507.730011,507.730011,774800
2021-12-13,504.500000,517.979980,488.000000,494.929993,494.929993,1024700
2021-12-14,488.500000,489.540009,461.730011,478.549988,478.549988,791400
2021-12-15,477.269989,510.989990,472.109985,508.410004,508.410004,890200
2021-12-16,504.000000,511.000000,475.269989,481.019989,481.019989,1034700
2021-12-17,476.750000,499.160004,470.290009,497.850006,497.850006,1316100
2021-12-20,486.989990,497.329987,481.000000,495.600006,495.600006,963400
2021-12-21,508.320007,539.900024,492.779999,538.460022,538.460022,1333300
2021-12-22,532.539978,553.599976,529.619995,551.520020,551.520020,963700
2021-12-23,550.000000,563.489990,547.729980,551.109985,551.109985,589800
2021-12-27,552.000000,570.580017,551.349976,559.190002,559.190002,346200
2021-12-28,563.330017,563.987976,541.080017,542.080017,542.080017,395000
2021-12-29,539.719971,541.210022,528.859985,538.010010,538.010010,479200
2021-12-30,540.460022,546.729980,531.909973,532.349976,532.349976,222600
2021-12-31,530.440002,538.080017,527.039978,529.349976,529.349976,359200
2022-01-03,515.000000,519.539978,476.251007,487.559998,487.559998,1913400
2022-01-04,488.770996,488.770996,445.869995,465.369995,465.369995,1479300
2022-01-05,449.149994,453.970001,426.540009,428.769989,428.769989,1661700
2022-01-06,422.070007,440.148010,413.000000,429.679993,429.679993,1912000
2022-01-07,425.000000,443.239990,419.910004,429.630005,429.630005,1139300
2022-01-10,414.095001,435.589996,393.950012,435.000000,435.000000,1711400
2022-01-11,426.899994,449.000000,426.899994,443.790009,443.790009,1112000
2022-01-12,449.000000,450.065002,430.450012,432.489990,432.489990,945700
2022-01-13,432.089996,432.089996,389.459991,390.829987,390.829987,1849200
2022-01-14,387.093994,398.940002,374.769989,396.890015,396.890015,1719700
2022-01-18,386.269989,407.260010,377.769989,387.269989,387.269989,993800
2022-01-19,390.579987,402.720001,384.589996,384.589996,384.589996,770600
2022-01-20,392.000000,412.000000,387.359985,389.119995,389.119995,1193600
2022-01-21,385.369995,399.779999,372.000000,375.570007,375.570007,1121400
2022-01-24,363.739990,387.809998,345.250000,386.450012,386.450012,1944100
2022-01-25,379.329987,383.915009,359.510010,365.480011,365.480011,1251400
2022-01-26,376.609985,393.839996,345.350006,351.570007,351.570007,1900200
2022-01-27,361.190002,369.920013,349.579987,351.510010,351.510010,1529500
2022-01-28,355.160004,373.660004,340.250000,373.049988,373.049988,1263800
2022-01-31,378.579987,406.338989,376.489990,405.109985,405.109985,1189500
2022-02-01,406.700012,412.940002,389.589996,411.149994,411.149994,763000
2022-02-02,414.000000,415.049988,392.910004,397.910004,397.910004,699300
2022-02-03,385.200012,393.779999,376.019989,381.850006,381.850006,1043600
2022-02-04,381.769989,409.720001,376.010010,403.540009,403.540009,1007000
2022-02-07,405.920013,427.989990,405.920013,407.829987,407.829987,875800
2022-02-08,402.350006,421.589996,400.994995,419.429993,419.429993,846700
2022-02-09,432.359985,443.309998,425.880005,441.670013,441.670013,1159100
2022-02-10,428.660004,464.730011,427.000000,450.600006,450.600006,1718400
2022-02-11,450.720001,460.000000,421.690002,427.170013,427.170013,1172500
2022-02-14,427.920013,443.869995,425.260010,429.929993,429.929993,644200
2022-02-15,441.768005,449.679993,433.059998,445.829987,445.829987,820900
2022-02-16,442.339996,442.339996,425.730011,436.130005,436.130005,775300
2022-02-17,432.890015,432.959991,407.489990,409.559998,409.559998,966500
2022-02-18,413.709991,414.910004,389.359985,390.179993,390.179993,823500
2022-02-22,386.970001,397.200012,379.075012,382.429993,382.429993,957300
2022-02-23,386.010010,389.170013,352.399994,354.809998,354.809998,1300500
2022-02-24,336.149994,378.489990,331.799988,375.359985,375.359985,1229700
2022-02-25,374.359985,377.790009,361.059998,375.940002,375.940002,781800
2022-02-28,376.320007,388.779999,373.010010,381.989990,381.989990,765400
2022-03-01,382.869995,395.845001,378.660004,381.809998,381.809998,726200
2022-03-02,382.839996,387.709991,366.000000,381.670013,381.670013,804700
2022-03-03,359.399994,364.959991,322.230011,327.230011,327.230011,3140000
2022-03-04,327.059998,332.429993,303.375000,306.109985,306.109985,2074100
2022-03-07,309.500000,313.970001,279.000000,279.980011,279.980011,1819800
2022-03-08,280.040009,289.670013,272.500000,281.739990,281.739990,2681600
2022-03-09,318.380005,339.790009,315.000000,334.089996,334.089996,3953500
2022-03-10,327.929993,342.820007,324.299988,338.510010,338.510010,1539500
2022-03-11,342.980011,344.020996,316.000000,316.489990,316.489990,1215700
2022-03-14,314.799988,324.000000,283.130005,290.160004,290.160004,2136100
2022-03-15,292.010010,300.760010,284.809998,298.260010,298.260010,1545800
2022-03-16,311.989990,344.554993,311.600006,343.820007,343.820007,2352800
2022-03-17,341.709991,374.859985,335.809998,372.429993,372.429993,1986800
2022-03-18,381.459991,402.119995,375.010010,398.100006,398.100006,2233600
2022-03-21,392.329987,400.190002,381.000000,390.500000,390.500000,1474600
2022-03-22,387.059998,414.975006,387.059998,405.769989,405.769989,1229900
2022-03-23,398.619995,418.600006,394.549988,404.850006,404.850006,820300
2022-03-24,408.269989,421.475006,396.529999,420.339996,420.339996,1250600
2022-03-25,421.269989,422.015015,400.260010,406.040009,406.040009,699100
2022-03-28,407.500000,421.619995,403.059998,420.920013,420.920013,896500
2022-03-29,428.980011,440.890015,423.109985,435.890015,435.890015,832400
2022-03-30,429.299988,443.279999,423.000000,430.220001,430.220001,1150500
2022-03-31,430.000000,455.679993,425.209991,443.589996,443.589996,1606900
2022-04-01,443.059998,471.959991,441.549011,454.450012,454.450012,1993200
2022-04-04,443.779999,464.029999,440.299988,458.600006,458.600006,1343200
2022-04-05,455.000000,457.989990,429.250000,435.119995,435.119995,1183100
2022-04-06,423.750000,425.000000,400.559998,421.890015,421.890015,1578500
2022-04-07,417.420013,437.690002,416.549988,428.489990,428.489990,1234800
2022-04-08,423.089996,430.984985,414.179993,416.880005,416.880005,801400
2022-04-11,408.609985,418.019989,402.779999,410.100006,410.100006,761200
2022-04-12,418.000000,438.940002,412.079987,414.070007,414.070007,911400
2022-04-13,413.440002,435.899994,411.660004,435.239990,435.239990,844400
2022-04-14,432.440002,436.989990,416.390015,416.500000,416.500000,553000
2022-04-18,412.000000,414.260010,393.967987,401.149994,401.149994,662300
2022-04-19,403.019989,419.070007,393.149994,416.000000,416.000000,673800
2022-04-20,420.570007,420.950012,401.429993,407.010010,407.010010,641900
2022-04-21,411.049988,420.959991,374.540009,377.869995,377.869995,1223200
2022-04-22,379.489990,386.440002,368.753998,371.040009,371.040009,792000
2022-04-25,369.040009,387.290009,365.869995,381.739990,381.739990,943200
2022-04-26,380.760010,380.760010,352.640015,352.750000,352.750000,1036000
2022-04-27,357.220001,375.459991,353.769989,359.980011,359.980011,1053400
2022-04-28,370.239990,382.029999,354.000000,377.649994,377.649994,839400
2022-04-29,374.959991,387.940002,353.779999,354.929993,354.929993,801700
2022-05-02,350.299988,360.070007,339.285004,359.589996,359.589996,1006200
2022-05-03,354.959991,366.899994,334.739990,343.720001,343.720001,1281500
2022-05-04,349.000000,361.286987,323.380005,360.559998,360.559998,1269000
2022-05-05,349.429993,349.690002,310.630005,315.929993,315.929993,1822000
